start_timestamp,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z
2384748.584,111.82,261.71,3372.2
2384758.569,98.51,233.92,3031.52
2384768.591,98.46,236.96,3070.25
2384778.586,95.91,232.83,3012.29
2384788.579,97.94,238.55,3080.72
2384798.568,100.77,248.66,3204.76
2384808.559,103.01,257.17,3290.46
2384818.551,106.63,266.77,3390.95
2384828.547,108.27,278.25,3532.47
2384838.534,115.82,306.26,3875.19
2384848.529,107.1,272.59,3432.96
2384858.519,112.18,213.51,2571.03
2384868.511,153.62,260.4,3081.01
2384878.5,178.16,289.14,3443.98
2384888.491,182.78,288.42,3467.48
2384898.487,144.47,222.43,2750.32
2385188.337,91.9,145.54,1945.89
2385198.326,58.56,96.33,1442.39
2385208.316,28.7,39.95,765.69
2385218.308,21.74,27.25,583.17
2385228.303,22.06,27.6,592.52
2385238.291,28.65,43.18,771.32
2385248.286,34.99,59.19,957.69
2385258.276,40.5,71.53,1112.46
2385268.269,44.32,81.14,1228.73
2385278.259,47.01,90.31,1326.71
2385288.281,50.03,98.92,1429.33
2385298.276,59.2,123.76,1721.32
2385308.267,66.51,143.9,1946.23
2385318.253,68.61,149.43,1998.93
2385328.248,73.56,165.57,2190.15
2385338.24,78.39,178.73,2369.86
2385348.237,84.81,192.71,2551.3
2385358.22,81.33,199.15,2592.82
2385368.212,36.87,125.62,1599.67
2385378.208,3.14,60.44,800.22
2385388.199,-11.54,109.61,1269.77
2385398.19,-21.69,258.32,2671.5
2385408.181,-22.74,234.77,2425.78
2385418.202,-14.3,125.32,1381.38
2385428.198,-30.57,275.3,2756.91
2385438.185,-48.16,460.94,4425.94
2385448.181,-37.35,358.25,3480.24
2385458.171,-22.97,223.92,2253.55
2385468.163,-23.37,226.79,2263.47
2385478.153,-27.48,265.8,2604.49
2385488.145,-33.35,327.37,3161.19
2385498.14,-34.8,333.7,3225.12
2385508.131,-47.49,469.72,4421.04
2385518.117,-67.61,672.93,6209.32
2385528.112,-50.17,516.32,4828.0
2385538.103,-33.79,361.24,3491.34
2385548.1,-32.85,355.13,3428.63
2385558.116,-31.63,336.28,3250.51
2385568.107,-32.5,334.63,3255.15
2385578.102,-36.53,364.88,3567.44
2385588.095,-37.64,374.17,3658.73
2385598.085,-35.92,354.15,3446.74
2385608.075,-35.81,332.85,3223.97
2385618.066,-34.89,318.58,3077.84
2385628.063,-36.38,321.97,3096.25
2385638.048,-35.33,330.37,3166.09
2385648.043,-34.27,313.62,3005.87
2385658.035,-33.7,298.64,2859.34
2385668.027,-31.92,286.45,2734.5
2385678.017,-30.18,268.13,2558.05
2385688.038,-31.05,273.22,2596.21
2385698.034,-32.15,271.39,2582.85
2385708.025,-30.9,256.04,2453.94
2385718.011,-31.52,257.54,2471.66
2385728.007,-31.14,249.27,2406.87
2385737.999,-31.23,239.37,2316.3
2385747.995,-30.55,240.36,2329.27
2385757.979,-29.57,223.63,2230.51
2385767.97,-37.93,249.96,2558.91
2385777.966,-42.33,285.92,2968.34
2385787.958,-21.42,116.5,1385.18
2385797.947,0.0,0.0,0.0
2385807.968,0.0,0.0,0.0
2385817.96,0.0,0.0,0.0
2385827.956,0.0,0.0,0.0
2385837.942,0.0,0.0,0.0
2385847.937,0.0,0.0,0.0
2385857.928,0.0,0.0,0.0
2385867.92,0.0,0.0,0.0
2385877.909,0.0,0.0,0.0
2385887.901,-0.69,-48.61,614.77
2385897.896,24.3,-69.26,1402.43
2385907.919,39.78,-46.03,2118.92
2385917.874,37.07,-18.51,1939.84
2385927.869,25.81,18.4,1524.47
2385937.891,18.05,39.3,1291.41
2385947.888,13.87,38.35,1091.85
2385957.873,62.26,316.0,4154.67
2385967.864,93.3,462.65,5758.84
2385977.86,96.69,587.76,6670.15
2385987.853,98.12,656.03,7175.9
2385997.842,64.97,505.37,5544.62
2386007.832,43.64,452.17,4899.08
2386017.824,43.75,436.89,4748.37
2386027.82,30.39,328.36,3640.91
2386037.806,22.5,272.76,2997.13
2386047.801,18.53,233.31,2541.24
2386057.823,14.37,205.73,2238.24
2386067.815,18.74,234.96,2494.8
2386077.804,16.66,229.26,2413.3
2386087.797,14.78,234.54,2431.21
2386097.793,15.62,213.02,2197.31
2386107.783,14.22,149.31,1586.64
2386117.769,-20.54,287.55,2682.45
2386127.764,-86.59,484.58,3995.36
