gidx,timestamp,pupil_center_left_x,pupil_center_left_y,pupil_center_left_z,pupil_center_right_x,pupil_center_right_y,pupil_center_right_z,pupil_diameter_left,pupil_diameter_right,gaze_direction_left_x,gaze_direction_left_y,gaze_direction_left_z,gaze_direction_right_x,gaze_direction_right_y,gaze_direction_right_z,gaze_position_x,gaze_position_y,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z
67428,909762783,29.47,-22.35,-33.82,-34.08,-19.45,-33.35,4.67,4.37,-0.6013,-0.0703,0.7959,-0.5853,-0.0293,0.8103,0.9883,0.6729,-254.97,-42.58,308.06
67429,909772769,29.74,-22.86,-33.03,-34.42,-19.27,-33.65,4.45,4.48,-0.6155,-0.075,0.7845,-0.5808,-0.0676,0.8113,0.9589,0.6486,-668.61,-100.43,854.81
67430,909782763,29.47,-22.34,-33.83,-34.11,-19.28,-33.54,4.68,4.42,-0.6031,-0.0807,0.7936,-0.592,-0.0627,0.8035,0.9566,0.6469,-714.32,-106.45,917.53
67431,909792755,29.73,-22.85,-33.05,-34.44,-19.18,-33.76,4.46,4.51,-0.6118,-0.0788,0.787,-0.5895,-0.0757,0.8042,0.9546,0.6454,-1066.54,-157.78,1375.74
67432,909802751,29.46,-22.33,-33.84,-34.14,-19.2,-33.63,4.69,4.44,-0.6042,-0.0838,0.7924,-0.5997,-0.075,0.7967,0.9536,0.6445,-1342.23,-197.61,1734.91
67433,909812738,29.72,-22.84,-33.06,-34.45,-19.14,-33.81,4.48,4.53,-0.6123,-0.0806,0.7865,-0.5933,-0.0784,0.8012,0.9555,0.646,-1255.72,-186.24,1616.76
67434,909822727,29.46,-22.33,-33.84,-34.17,-19.15,-33.69,4.7,4.47,-0.6055,-0.0835,0.7915,-0.6044,-0.0789,0.7928,0.9572,0.6472,-1382.2,-206.11,1773.1
67435,909832723,29.72,-22.83,-33.08,-34.47,-19.11,-33.84,4.49,4.54,-0.6141,-0.0802,0.7852,-0.5868,-0.078,0.806,0.957,0.6519,-889.12,-137.69,1140.98
67437,909852736,29.62,-22.7,-33.31,-34.59,-19.09,-33.91,4.55,4.57,-0.6167,-0.0828,0.7829,-0.5329,-0.0647,0.8437,0.9597,0.6917,-280.11,-56.48,357.44
67439,909872718,29.52,-22.56,-33.56,-34.64,-19.07,-33.95,4.6,4.59,-0.6158,-0.0875,0.7831,-0.5224,-0.0615,0.8505,0.9607,0.7032,-243.83,-52.4,310.52
67441,909892700,29.42,-22.42,-33.82,-34.66,-19.06,-33.96,4.64,4.6,-0.615,-0.0915,0.7832,-0.5184,-0.0611,0.853,0.9616,0.7106,-230.34,-51.42,292.79
67443,909912687,29.31,-22.27,-34.07,-34.67,-19.05,-33.97,4.69,4.61,-0.6212,-0.0925,0.7782,-0.5253,-0.057,0.849,0.9736,0.7143,-224.69,-49.71,279.06
67449,910192513,29.26,-22.22,-34.12,-32.81,-19.95,-32.42,4.81,4.23,-0.6156,-0.0947,0.7824,-0.8787,0.1698,0.4461,0.957,0.7474,-229.0,-61.84,293.88
67450,910202509,29.26,-22.08,-34.27,-33.5,-19.71,-33.12,4.84,4.36,-0.6137,-0.0951,0.7838,-0.7501,0.0602,0.6586,0.954,0.7472,-228.16,-62.0,294.55
67461,910312445,29.84,-22.92,-32.97,-34.15,-19.34,-33.19,4.46,4.43,-0.6114,-0.0626,0.7888,-0.6011,-0.065,0.7965,0.9539,0.6173,-2383.51,-271.58,3080.03
67463,910332457,30.09,-22.0,-34.06,-34.0,-18.63,-33.55,4.67,4.53,-0.4313,-0.0425,0.9012,-0.4767,-0.0414,0.8781,0.8026,0.5725,-2029.67,-207.58,3939.45
67465,910352443,30.83,-21.24,-34.83,-32.9,-18.16,-33.33,4.83,4.42,-0.2839,-0.0032,0.9588,-0.4321,0.0579,0.9,0.7285,0.4864,-1602.64,102.72,4123.17
67466,910362436,31.46,-20.92,-34.94,-32.87,-18.01,-33.64,4.64,4.6,-0.2059,-0.054,0.9771,-0.3777,0.0979,0.9208,0.6813,0.4906,-1291.98,77.82,4166.28
67467,910372421,31.73,-20.97,-34.75,-32.77,-17.57,-33.66,4.66,4.73,-0.1867,-0.0658,0.9802,-0.2505,0.1058,0.9623,0.6315,0.4907,-964.65,68.79,4247.9
67468,910382416,32.19,-20.66,-35.1,-32.47,-17.6,-33.67,3.86,4.63,-0.0809,-0.1167,0.9899,-0.2016,0.127,0.9712,0.5824,0.5043,-617.32,3.63,4252.28
67469,910392407,32.36,-20.7,-35.03,-32.32,-17.19,-33.81,3.35,4.63,0.0012,-0.1528,0.9883,-0.1166,0.1231,0.9855,0.5308,0.5233,-251.59,-83.73,4261.3
67481,910512338,33.56,-20.78,-34.72,-30.89,-18.36,-31.97,4.5,4.39,0.2315,0.2853,0.93,0.244,0.4602,0.8537,0.3434,0.0533,1022.48,1580.43,3795.15
67482,910522330,33.23,-21.0,-34.0,-30.61,-17.73,-32.69,4.51,4.63,0.2791,0.329,0.9022,0.2224,0.3856,0.8954,0.3356,0.0743,1072.73,1507.46,3807.28
67483,910532320,33.35,-21.24,-33.79,-30.9,-17.96,-32.25,4.49,4.42,0.2368,0.3391,0.9105,0.2076,0.3916,0.8964,0.3555,0.0681,949.89,1540.0,3823.61
67484,910542312,33.13,-21.03,-33.75,-30.76,-17.62,-32.71,4.53,4.73,0.2277,0.3478,0.9095,0.1582,0.3862,0.9087,0.3757,0.0698,824.85,1547.3,3847.42
67485,910552307,33.2,-21.02,-33.87,-31.04,-17.58,-32.57,4.84,4.56,0.1847,0.3556,0.9162,0.15,0.3679,0.9177,0.3934,0.0805,714.69,1523.16,3876.72
67486,910562299,32.92,-21.0,-33.66,-30.97,-17.48,-32.84,4.6,4.72,0.1723,0.3431,0.9234,0.1121,0.353,0.9289,0.4105,0.1012,607.31,1464.95,3916.0
67487,910572316,32.99,-21.19,-33.58,-31.21,-17.24,-32.91,4.78,4.58,0.1369,0.3487,0.9272,0.1089,0.3268,0.9388,0.4234,0.1166,524.53,1420.32,3943.24
67488,910582312,32.87,-20.91,-33.76,-31.17,-17.4,-32.94,4.84,4.72,0.1347,0.3322,0.9336,0.0707,0.3268,0.9424,0.4365,0.1287,438.54,1384.97,3963.88
67489,910592301,32.87,-20.91,-33.87,-31.38,-17.17,-33.0,4.84,4.91,0.0929,0.3077,0.9469,0.0706,0.3341,0.9399,0.45,0.1413,349.02,1347.79,3984.59
67490,910602297,32.79,-20.77,-33.92,-31.35,-17.42,-32.96,4.83,4.85,0.0908,0.3103,0.9463,0.0409,0.3315,0.9426,0.4601,0.1423,281.27,1347.62,3988.61
67491,910612284,32.74,-20.87,-33.91,-31.55,-17.2,-33.01,4.85,5.0,0.0542,0.3019,0.9518,0.0433,0.3455,0.9374,0.4711,0.1398,208.16,1358.83,3987.44
67492,910622274,32.59,-20.88,-33.72,-31.5,-17.49,-32.91,4.77,4.89,0.0511,0.2988,0.953,0.0122,0.3324,0.9431,0.4818,0.1509,135.17,1323.86,4001.52
67493,910632270,32.57,-20.95,-33.79,-31.68,-17.25,-32.97,4.8,4.94,0.0221,0.2886,0.9572,0.0143,0.3236,0.9461,0.4902,0.1633,77.81,1283.17,4015.46
67494,910642261,32.51,-20.9,-33.7,-31.66,-17.46,-32.96,4.74,4.87,0.0287,0.2881,0.9572,-0.0152,0.3124,0.9498,0.4973,0.1709,29.13,1258.04,4023.2
67495,910652252,32.46,-20.97,-33.8,-31.78,-17.24,-32.98,4.72,4.88,0.0013,0.2664,0.9639,-0.0028,0.2992,0.9542,0.5016,0.1922,-3.12,1283.41,4383.54
67496,910662243,32.43,-20.95,-33.69,-31.67,-17.59,-32.78,4.66,4.6,0.0107,0.2715,0.9624,-0.0156,0.2508,0.9679,0.5022,0.2188,-8.89,963.91,3600.76
