Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y
0,909762783,,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),RecordingStart,,,,,,,,,,,,,,,,,,,,,,,,Fixation,155,1,1846,732
0,909762783,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1897,727,-254.9738,-42.5755,308.062,-0.60127,-0.07028,0.79595,-0.58526,-0.02926,0.81032,29.47,-22.35,-33.82,-34.08,-19.45,-33.35,4.669,4.375,4.522,Valid,Valid,Fixation,155,1,1846,732
9986,909772769,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1841,701,-668.6101,-100.433,854.8094,-0.61553,-0.075,0.78454,-0.58076,-0.06762,0.81126,29.74,-22.86,-33.03,-34.42,-19.27,-33.65,4.446,4.485,4.544,Valid,Valid,Fixation,155,1,1846,732
19980,909782763,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1837,699,-714.3168,-106.4477,917.5314,-0.60311,-0.08073,0.79357,-0.59198,-0.06268,0.80351,29.47,-22.34,-33.83,-34.11,-19.28,-33.54,4.677,4.42,4.554,Valid,Valid,Fixation,155,1,1846,732
29972,909792755,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1833,697,-1066.5378,-157.7846,1375.7418,-0.61185,-0.0788,0.78704,-0.58953,-0.07572,0.80419,29.73,-22.85,-33.05,-34.44,-19.18,-33.76,4.462,4.513,4.481,Valid,Valid,Fixation,155,1,1846,732
39968,909802751,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1831,696,-1342.2253,-197.6098,1734.9143,-0.60416,-0.0838,0.79244,-0.59968,-0.075,0.79672,29.46,-22.33,-33.84,-34.14,-19.2,-33.63,4.686,4.439,4.574,Valid,Valid,Fixation,155,1,1846,732
49955,909812738,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1835,698,-1255.719,-186.2428,1616.7628,-0.61234,-0.08063,0.78647,-0.59328,-0.07844,0.80117,29.72,-22.84,-33.06,-34.45,-19.14,-33.81,4.477,4.527,4.5,Valid,Valid,Fixation,155,1,1846,732
59944,909822727,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1838,699,-1382.2012,-206.1105,1773.1022,-0.60546,-0.08354,0.79148,-0.60437,-0.07894,0.79278,29.46,-22.33,-33.84,-34.17,-19.15,-33.69,4.696,4.471,4.607,Valid,Valid,Fixation,155,1,1846,732
69940,909832723,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1838,704,-889.1219,-137.6857,1140.979,-0.61407,-0.0802,0.78516,-0.5868,-0.07802,0.80597,29.72,-22.83,-33.08,-34.47,-19.11,-33.84,4.488,4.539,4.542,Valid,Valid,Fixation,155,1,1846,732
79963,909842746,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1846,780,-172.667,-41.0208,219.6571,-0.6226,-0.05715,0.78045,,,,29.46,-22.33,-33.85,,,,4.705,,4.626,Valid,Invalid,Fixation,155,1,1846,732
89953,909852736,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1843,747,-280.1098,-56.4803,357.4439,-0.61666,-0.08281,0.78286,-0.53292,-0.06473,0.84368,29.62,-22.7,-33.31,-34.59,-19.09,-33.91,4.545,4.571,4.584,Valid,Valid,Fixation,155,1,1846,732
99943,909862726,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1845,755,-252.7327,-53.0927,321.6528,-0.62028,-0.06753,0.78147,,,,29.42,-22.27,-33.95,,,,4.73,,4.642,Valid,Invalid,Fixation,155,1,1846,732
109935,909872718,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1845,759,-243.8271,-52.3989,310.5176,-0.61578,-0.08745,0.78305,-0.52244,-0.06152,0.85045,29.52,-22.56,-33.56,-34.64,-19.07,-33.95,4.596,4.587,4.614,Valid,Valid,Fixation,155,1,1846,732
119930,909882713,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1846,764,-234.9315,-51.5283,298.6704,-0.62071,-0.06858,0.78104,,,,29.38,-22.21,-34.05,,,,4.751,,4.662,Valid,Invalid,Fixation,155,1,1846,732
129917,909892700,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1846,767,-230.3377,-51.4225,292.7915,-0.61495,-0.09146,0.78324,-0.51838,-0.06108,0.85296,29.42,-22.42,-33.82,-34.66,-19.06,-33.96,4.642,4.599,4.642,Valid,Valid,Fixation,155,1,1846,732
139911,909902694,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1841,771,-224.7543,-51.3801,287.2411,-0.61878,-0.0709,0.78236,,,,29.33,-22.16,-34.15,,,,4.77,,4.645,Valid,Invalid,Fixation,155,1,1846,732
149904,909912687,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1869,771,-224.69,-49.7139,279.0553,-0.62121,-0.09248,0.77817,-0.5253,-0.05697,0.84901,29.31,-22.27,-34.07,-34.67,-19.05,-33.97,4.686,4.608,4.647,Valid,Valid,Fixation,155,1,1846,732
159895,909922678,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,Invalid,Invalid,EyesNotFound,30,1,,
169886,909932669,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,Invalid,Invalid,EyesNotFound,30,1,,
179875,909942658,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,Invalid,Invalid,EyesNotFound,30,1,,
409744,910172527,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,Invalid,Invalid,EyesNotFound,20,2,,
419738,910182521,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,Invalid,Invalid,EyesNotFound,20,2,,
429730,910192513,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1837,807,-228.9973,-61.84,293.8781,-0.6156,-0.0947,0.78235,-0.87873,0.16985,0.44608,29.26,-22.22,-34.12,-32.81,-19.95,-32.42,4.814,4.228,4.521,Valid,Valid,Unclassified,20,1,,
439726,910202509,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1832,807,-228.1569,-61.9966,294.5464,-0.6137,-0.09513,0.78379,-0.75006,0.06015,0.65862,29.26,-22.08,-34.27,-33.5,-19.71,-33.12,4.84,4.357,4.599,Valid,Valid,Unclassified,20,1,,
449743,910212526,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,Invalid,Invalid,EyesNotFound,100,3,,
459733,910222516,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,Invalid,Invalid,EyesNotFound,100,3,,
469730,910232513,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,Invalid,Invalid,EyesNotFound,100,3,,
479721,910242504,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,Invalid,Invalid,EyesNotFound,100,3,,
489710,910252493,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,Invalid,Invalid,EyesNotFound,100,3,,
499700,910262483,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,Invalid,Invalid,EyesNotFound,100,3,,
509693,910272476,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,Invalid,Invalid,EyesNotFound,100,3,,
519688,910282471,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,Invalid,Invalid,EyesNotFound,100,3,,
529675,910292458,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,Invalid,Invalid,EyesNotFound,100,3,,
539669,910302452,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,Invalid,Invalid,EyesNotFound,100,3,,
549662,910312445,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1831,667,-2383.509,-271.5775,3080.0315,-0.61142,-0.06256,0.78883,-0.60115,-0.065,0.79649,29.84,-22.92,-32.97,-34.15,-19.34,-33.19,4.464,4.431,4.448,Valid,Valid,Saccade,30,1,,
559684,910322467,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1667,643,-2343.2476,-265.3404,3731.446,-0.53241,-0.05456,0.84472,,,,29.95,-22.08,-34.07,,,,4.619,,4.55,Valid,Invalid,Saccade,30,1,,
569674,910332457,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1541,618,-2029.6738,-207.5794,3939.4519,-0.43133,-0.04249,0.9012,-0.47666,-0.0414,0.87811,30.09,-22,-34.06,-34,-18.63,-33.55,4.675,4.529,4.573,Valid,Valid,Saccade,30,1,,
579664,910342447,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,4.577,Invalid,Invalid,EyesNotFound,10,4,,
589660,910352443,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1399,525,-1602.6351,102.7156,4123.1704,-0.28391,-0.00321,0.95885,-0.43212,0.0579,0.89996,30.83,-21.24,-34.83,-32.9,-18.16,-33.33,4.825,4.416,4.602,Valid,Valid,Saccade,50,2,,
599653,910362436,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1308,530,-1291.9819,77.819,4166.2764,-0.20585,-0.05396,0.97709,-0.37765,0.09789,0.92076,31.46,-20.92,-34.94,-32.87,-18.01,-33.64,4.645,4.601,4.629,Valid,Valid,Saccade,50,2,,
609638,910372421,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1213,530,-964.6522,68.7934,4247.9019,-0.1867,-0.06583,0.98021,-0.25052,0.10581,0.96231,31.73,-20.97,-34.75,-32.77,-17.57,-33.66,4.658,4.729,4.635,Valid,Valid,Saccade,50,2,,
619633,910382416,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1118,545,-617.3162,3.6323,4252.2773,-0.08093,-0.11666,0.98987,-0.2016,0.12699,0.9712,32.19,-20.66,-35.1,-32.47,-17.6,-33.67,3.858,4.625,4.242,Valid,Valid,Saccade,50,2,,
629624,910392407,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1019,565,-251.5894,-83.7309,4261.3022,0.00119,-0.1528,0.98826,-0.11658,0.12313,0.98552,32.36,-20.7,-35.03,-32.32,-17.19,-33.81,3.35,4.63,3.988,Valid,Valid,Saccade,50,2,,
639620,910402403,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,4.495,Invalid,Invalid,EyesNotFound,20,5,,
649606,910412389,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,4.361,Invalid,Invalid,EyesNotFound,20,5,,
659597,910422380,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1019,397,-229.7357,538.1179,4202.7964,,,,-0.04642,0.13004,0.99042,,,,-31.25,-18,-32.7,,4.226,4.361,Invalid,Valid,Unclassified,10,2,,
669593,910432376,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,4.361,Invalid,Invalid,EyesNotFound,10,6,,
679615,910442398,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,943,285,63.4934,927.5441,4134.7734,,,,0.0221,0.2211,0.975,,,,-31.01,-17.6,-33.01,,4.49,4.49,Invalid,Valid,Saccade,50,3,,
689604,910452387,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,860,206,365.432,1181.6652,4059.6414,,,,0.09257,0.27986,0.95557,,,,-31.12,-17.12,-33.25,,4.746,4.532,Invalid,Valid,Saccade,50,3,,
699595,910462378,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,788,154,613.5568,1337.0457,3988.5034,,,,0.15014,0.31551,0.93697,,,,-30.83,-17.16,-33.38,,4.704,4.704,Invalid,Valid,Saccade,50,3,,
709588,910472371,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,756,112,717.4936,1454.6179,3922.8718,,,,0.17459,0.34339,0.92282,,,,-30.97,-17.45,-32.94,,4.532,4.704,Invalid,Valid,Saccade,50,3,,
719585,910482368,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,726,68,815.0302,1579.2325,3862.2034,,,,0.19694,0.37185,0.90716,,,,-30.55,-17.4,-33.11,,4.749,4.63,Invalid,Valid,Saccade,50,3,,
