gidx,timestamp,pupil_center_left_x,pupil_center_left_y,pupil_center_left_z,pupil_center_right_x,pupil_center_right_y,pupil_center_right_z,pupil_diameter_left,pupil_diameter_right,gaze_direction_left_x,gaze_direction_left_y,gaze_direction_left_z,gaze_direction_right_x,gaze_direction_right_y,gaze_direction_right_z,gaze_position_x,gaze_position_y,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z
59988,661168467,32.42,-26.01,-31.6,-30.97,-26.73,-31.29,5.03,4.96,0.207,0.2921,0.9337,0.1899,0.2721,0.9433,0.3699,0.1979,182.91,232.61,830.11
59989,661178457,32.51,-26.19,-31.49,-31.03,-26.51,-31.3,5.0,4.97,0.2025,0.2977,0.9329,0.1955,0.2692,0.943,0.3695,0.1961,183.47,233.99,830.05
59990,661188448,32.43,-26.03,-31.57,-30.97,-26.74,-31.27,5.06,4.97,0.2092,0.2962,0.932,0.1903,0.2717,0.9434,0.369,0.1954,184.24,234.55,830.15
59991,661198439,32.52,-26.21,-31.46,-31.03,-26.53,-31.28,5.02,4.96,0.2057,0.2996,0.9316,0.1956,0.2684,0.9432,0.3684,0.1953,185.19,234.66,830.34
59992,661208435,32.46,-26.05,-31.54,-30.97,-26.74,-31.26,5.08,4.96,0.2139,0.2971,0.9306,0.1912,0.2707,0.9435,0.3671,0.1952,186.99,234.71,830.36
59993,661218422,32.55,-26.24,-31.42,-31.02,-26.54,-31.25,5.02,4.96,0.2115,0.2984,0.9307,0.1975,0.2691,0.9427,0.3657,0.1953,188.89,234.6,830.4
59994,661228417,32.49,-26.08,-31.53,-30.96,-26.75,-31.24,5.07,4.95,0.2194,0.2964,0.9295,0.1938,0.2694,0.9433,0.3643,0.196,190.9,234.02,830.53
59995,661238408,32.59,-26.28,-31.42,-31.01,-26.54,-31.23,5.02,4.94,0.2175,0.2959,0.9301,0.1998,0.2676,0.9426,0.3629,0.1972,192.89,233.01,830.79
59996,661248400,32.51,-26.1,-31.53,-30.95,-26.75,-31.23,5.07,4.94,0.2216,0.2937,0.9299,0.1958,0.2686,0.9432,0.3628,0.198,193.01,232.56,831.3
59997,661258389,32.59,-26.27,-31.42,-31.0,-26.54,-31.22,5.02,4.93,0.2173,0.2953,0.9304,0.2006,0.2667,0.9427,0.3627,0.1981,193.33,232.54,831.63
59998,661268411,32.51,-26.1,-31.53,-30.93,-26.74,-31.22,5.05,4.92,0.223,0.2931,0.9297,0.196,0.2681,0.9432,0.3623,0.1985,193.93,232.32,831.96
59999,661278407,32.59,-26.27,-31.43,-30.99,-26.53,-31.22,5.0,4.91,0.2182,0.2931,0.9309,0.2007,0.2672,0.9425,0.3624,0.1992,193.93,231.93,832.48
60000,661288399,32.52,-26.1,-31.53,-30.92,-26.73,-31.21,5.02,4.9,0.2217,0.2893,0.9312,0.1958,0.269,0.943,0.3628,0.2005,193.43,231.16,833.27
60001,661298383,32.59,-26.27,-31.42,-30.98,-26.53,-31.21,4.96,4.89,0.2172,0.2893,0.9323,0.2014,0.2686,0.942,0.3625,0.2007,193.99,231.04,833.62
60002,661308378,32.52,-26.1,-31.53,-30.92,-26.74,-31.2,5.0,4.88,0.2237,0.2887,0.9309,0.1957,0.2695,0.9429,0.3622,0.2004,194.45,231.34,833.87
60003,661318371,32.59,-26.28,-31.41,-30.98,-26.53,-31.2,4.93,4.86,0.2182,0.289,0.9321,0.2005,0.2694,0.9419,0.3625,0.2004,194.18,231.5,834.32
60004,661328368,32.52,-26.09,-31.53,-30.92,-26.74,-31.19,4.97,4.85,0.2234,0.288,0.9312,0.1944,0.2701,0.943,0.3628,0.2006,193.86,231.52,834.82
60005,661338353,32.59,-26.28,-31.39,-30.98,-26.54,-31.19,4.9,4.83,0.2178,0.2874,0.9327,0.2001,0.2697,0.9419,0.3627,0.2012,194.04,231.12,835.35
60006,661348343,31.2,-26.78,-30.85,-31.08,-26.6,-31.56,4.88,4.36,0.044,0.0858,0.9953,0.0979,0.3607,0.9275,0.4546,0.2776,65.3,179.92,858.42
60007,661358338,30.93,-27.11,-31.36,-32.06,-26.96,-31.65,4.94,4.5,-0.069,0.0442,0.9966,-0.071,0.142,0.9873,0.541,0.4331,-64.75,58.36,878.62
60008,661698140,30.66,-27.37,-31.27,-32.65,-27.26,-31.67,4.97,4.54,-0.1351,0.0156,0.9907,-0.1518,0.0367,0.9877,0.586,0.5095,-132.28,-3.36,874.14
60009,661708135,30.63,-27.27,-31.48,-32.55,-27.75,-31.17,4.94,4.58,-0.1584,0.0105,0.9873,-0.1932,0.0143,0.9811,0.6046,0.5233,-159.18,-13.95,870.2
60010,661718127,30.47,-27.44,-31.28,-32.9,-27.54,-31.55,5.0,4.59,-0.1776,0.0155,0.984,-0.2199,-0.0043,0.9755,0.6235,0.5374,-186.09,-24.54,866.26
60013,661748100,30.48,-27.29,-31.45,-32.78,-27.84,-31.36,5.0,4.64,-0.1774,0.023,0.9839,-0.2443,0.0121,0.9696,0.6299,0.5218,-194.32,-11.49,863.38
60014,661758095,30.38,-27.42,-31.31,-33.01,-27.58,-31.63,5.0,4.61,-0.1938,0.0217,0.9808,-0.2383,0.0042,0.9712,0.6333,0.5271,-199.29,-15.64,863.03
60015,661768089,30.42,-27.28,-31.45,-32.82,-27.86,-31.38,4.97,4.65,-0.1875,0.0197,0.9821,-0.2554,0.0089,0.9668,0.6369,0.5258,-204.27,-14.46,861.98
60016,661778078,30.3,-27.39,-31.29,-33.05,-27.58,-31.64,4.97,4.62,-0.2024,0.0273,0.9789,-0.2448,0.006,0.9695,0.6385,0.5232,-206.36,-12.22,861.68
60017,661788099,30.34,-27.24,-31.42,-32.87,-27.87,-31.3,4.97,4.63,-0.1964,0.0243,0.9802,-0.2499,0.0155,0.9681,0.6382,0.5196,-205.93,-9.29,862.02
60018,661798090,30.26,-27.36,-31.26,-33.09,-27.58,-31.61,4.94,4.61,-0.2047,0.0326,0.9783,-0.2459,0.011,0.9692,0.6397,0.5174,-208.05,-7.48,861.71
60019,661808086,30.29,-27.2,-31.42,-32.88,-27.87,-31.27,4.94,4.62,-0.2007,0.031,0.9792,-0.2563,0.018,0.9664,0.6419,0.5145,-210.96,-5.05,861.17
60020,661818073,30.22,-27.32,-31.24,-33.16,-27.57,-31.62,4.94,4.58,-0.212,0.0403,0.9764,-0.2487,0.018,0.9684,0.6433,0.5093,-212.77,-0.74,860.91
60021,661828068,30.26,-27.14,-31.43,-32.78,-27.89,-30.99,4.9,4.59,-0.2077,0.039,0.9774,-0.2594,0.0274,0.9654,0.6454,0.5049,-215.65,2.96,860.45
60022,661838059,30.17,-27.25,-31.28,-33.13,-27.56,-31.51,4.93,4.57,-0.2195,0.0476,0.9745,-0.2532,0.0284,0.967,0.6475,0.4994,-218.42,7.49,859.85
60023,661848050,30.2,-27.08,-31.43,-33.02,-27.8,-31.37,4.9,4.66,-0.2163,0.0475,0.9752,-0.261,0.0424,0.9644,0.6493,0.4916,-220.65,13.87,859.28
60024,661858041,30.11,-27.17,-31.32,-33.23,-27.52,-31.64,4.93,4.6,-0.2241,0.0593,0.9728,-0.2488,0.0385,0.9678,0.648,0.487,-218.79,17.58,859.92
