Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Recording media name,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Ungrouped
0,133943636,,Final,04/26/2024,subject7,Recording020,04/25/2024,04/25/2024,19:11:44.868,13:41:44.868,70326,Tobii I-VT (Attention),RecordingStart,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,145,1,953,296,
0,133943636,Eye Tracker,Final,04/26/2024,subject7,Recording020,04/25/2024,04/25/2024,19:11:44.868,13:41:44.868,70326,Tobii I-VT (Attention),,,957,303,4.3992,451.1751,2161.9641,0.00223,0.20884,0.97795,0.00251,0.21179,0.97731,31.43,-20.73,-34.1,-33.31,-21.45,-32.56,4.535,4.188,4.361,Valid,Valid,,,,Fixation,145,1,953,296,
9990,133953626,Eye Tracker,Final,04/26/2024,subject7,Recording020,04/25/2024,04/25/2024,19:11:44.868,13:41:44.868,70326,Tobii I-VT (Attention),,,958,300,3.1352,482.277,2282.3677,-0.01005,0.21699,0.97612,0.01358,0.20785,0.97807,31.41,-21.04,-33.97,-33.5,-21.26,-32.59,4.542,4.205,4.37,Valid,Valid,,,,Fixation,145,1,953,296,
19981,133963617,Eye Tracker,Final,04/26/2024,subject7,Recording020,04/25/2024,04/25/2024,19:11:44.868,13:41:44.868,70326,Tobii I-VT (Attention),,,956,300,8.5671,524.2602,2474.0835,0.00296,0.20956,0.97779,0.00443,0.21554,0.97648,31.43,-20.75,-34.07,-33.29,-21.52,-32.43,4.533,4.213,4.372,Valid,Valid,,,,Fixation,145,1,953,296,
29977,133973613,Eye Tracker,Final,04/26/2024,subject7,Recording020,04/25/2024,04/25/2024,19:11:44.868,13:41:44.868,70326,Tobii I-VT (Attention),,,955,300,8.602,469.8032,2220.189,-0.00895,0.21626,0.97629,0.01733,0.20947,0.97766,31.41,-21.05,-33.97,-33.5,-21.31,-32.5,4.545,4.209,4.378,Valid,Valid,,,,Fixation,145,1,953,296,
39969,133983605,Eye Tracker,Final,04/26/2024,subject7,Recording020,04/25/2024,04/25/2024,19:11:44.868,13:41:44.868,70326,Tobii I-VT (Attention),,,955,298,8.3719,424.068,1990.6638,0.00419,0.21264,0.97712,0.00478,0.21706,0.97615,31.42,-20.76,-34.04,-33.3,-21.54,-32.42,4.525,4.226,4.377,Valid,Valid,,,,Fixation,145,1,953,296,
49954,133993590,Eye Tracker,Final,04/26/2024,subject7,Recording020,04/25/2024,04/25/2024,19:11:44.868,13:41:44.868,70326,Tobii I-VT (Attention),,,954,297,9.5953,427.3838,1992.2787,-0.0091,0.22054,0.97534,0.01938,0.21186,0.97711,31.4,-21.05,-33.96,-33.52,-21.34,-32.47,4.552,4.221,4.385,Valid,Valid,,,,Fixation,145,1,953,296,
59949,134003585,Eye Tracker,Final,04/26/2024,subject7,Recording020,04/25/2024,04/25/2024,19:11:44.868,13:41:44.868,70326,Tobii I-VT (Attention),,,953,296,12.2657,453.335,2108.1633,0.00554,0.21366,0.97689,0.00649,0.21901,0.9757,31.42,-20.76,-34.04,-33.31,-21.55,-32.4,4.533,4.225,4.388,Valid,Valid,,,,Fixation,145,1,953,296,
69941,134013577,Eye Tracker,Final,04/26/2024,subject7,Recording020,04/25/2024,04/25/2024,19:11:44.868,13:41:44.868,70326,Tobii I-VT (Attention),,,951,295,16.1978,458.2026,2118.6667,-0.0069,0.21759,0.97601,0.02257,0.21726,0.97585,31.4,-21.06,-33.95,-33.52,-21.36,-32.45,4.561,4.253,4.396,Valid,Valid,,,,Fixation,145,1,953,296,
79937,134023573,Eye Tracker,Final,04/26/2024,subject7,Recording020,04/25/2024,04/25/2024,19:11:44.868,13:41:44.868,70326,Tobii I-VT (Attention),,,951,294,13.4775,393.4203,1814.519,0.00748,0.21738,0.97606,0.00773,0.22049,0.97536,31.43,-20.77,-34.04,-33.31,-21.57,-32.38,4.549,4.239,4.396,Valid,Valid,,,,Fixation,145,1,953,296,
89953,134033589,Eye Tracker,Final,04/26/2024,subject7,Recording020,04/25/2024,04/25/2024,19:11:44.868,13:41:44.868,70326,Tobii I-VT (Attention),,,951,293,13.6778,386.9129,1780.0726,-0.00915,0.22206,0.97499,0.02502,0.21704,0.97584,31.41,-21.07,-33.93,-33.52,-21.38,-32.44,4.571,4.264,4.407,Valid,Valid,,,,Fixation,145,1,953,296,
99943,134043579,Eye Tracker,Final,04/26/2024,subject7,Recording020,04/25/2024,04/25/2024,19:11:44.868,13:41:44.868,70326,Tobii I-VT (Attention),,,951,294,12.9838,379.1669,1748.5463,0.00747,0.21753,0.97602,0.00776,0.22093,0.97526,31.43,-20.78,-34.03,-33.31,-21.58,-32.37,4.548,4.244,4.405,Valid,Valid,,,,Fixation,145,1,953,296,
109938,134053574,Eye Tracker,Final,04/26/2024,subject7,Recording020,04/25/2024,04/25/2024,19:11:44.868,13:41:44.868,70326,Tobii I-VT (Attention),,,949,293,22.2036,531.8511,2447.4829,-0.00359,0.2182,0.9759,0.0219,0.21696,0.97593,31.41,-21.09,-33.91,-33.52,-21.36,-32.48,4.571,4.283,4.417,Valid,Valid,,,,Fixation,145,1,953,296,
119932,134063568,Eye Tracker,Final,04/26/2024,subject7,Recording020,04/25/2024,04/25/2024,19:11:44.868,13:41:44.868,70326,Tobii I-VT (Attention),,,949,290,30.266,713.4061,3245.4368,0.00962,0.20822,0.97803,0.00894,0.22901,0.97338,31.43,-20.78,-34.02,-33.31,-21.58,-32.38,4.554,4.257,4.407,Valid,Valid,,,,Fixation,145,1,953,296,
129922,134073558,Eye Tracker,Final,04/26/2024,subject7,Recording020,04/25/2024,04/25/2024,19:11:44.868,13:41:44.868,70326,Tobii I-VT (Attention),,,950,291,27.7927,714.0242,3251.5066,-0.00079,0.21998,0.9755,0.01794,0.21685,0.97604,31.42,-21.11,-33.89,-33.51,-21.35,-32.51,4.582,4.297,4.427,Valid,Valid,,,,Fixation,145,1,953,296,
139912,134083548,Eye Tracker,Final,04/26/2024,subject7,Recording020,04/25/2024,04/25/2024,19:11:44.868,13:41:44.868,70326,Tobii I-VT (Attention),,,950,292,26.7579,702.7619,3216.9375,0.00784,0.20786,0.97813,0.00878,0.22694,0.97387,31.43,-20.79,-34.01,-33.31,-21.57,-32.41,4.558,4.255,4.436,Valid,Valid,,,,Fixation,145,1,953,296,
149904,134093540,Eye Tracker,Final,04/26/2024,subject7,Recording020,04/25/2024,04/25/2024,19:11:44.868,13:41:44.868,70326,Tobii I-VT (Attention),,,959,284,1.7741,727.2056,3215.5891,-0.00884,0.22519,0.97428,0.01053,0.22381,0.97458,31.42,-21.13,-33.85,-33.53,-21.38,-32.46,4.588,4.289,4.442,Valid,Valid,,,,Saccade,10,1,,,
159900,134103536,Eye Tracker,Final,04/26/2024,subject7,Recording020,04/25/2024,04/25/2024,19:11:44.868,13:41:44.868,70326,Tobii I-VT (Attention),,,1000,250,-85.4158,649.7194,2530.5894,-0.01523,0.23569,0.97171,-0.04835,0.27028,0.96157,31.16,-20.79,-33.88,-33.36,-21.67,-32.21,4.618,4.429,4.521,Valid,Valid,,,,Unclassified,10,1,,,
