gidx,timestamp,pupil_center_left_x,pupil_center_left_y,pupil_center_left_z,pupil_center_right_x,pupil_center_right_y,pupil_center_right_z,pupil_diameter_left,pupil_diameter_right,gaze_direction_left_x,gaze_direction_left_y,gaze_direction_left_z,gaze_direction_right_x,gaze_direction_right_y,gaze_direction_right_z,gaze_position_x,gaze_position_y,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y
2728,133943636,31.43,-20.73,-34.1,-33.31,-21.45,-32.56,4.54,4.19,0.0022,0.2088,0.9779,0.0025,0.2118,0.9773,0.4986,0.2809,4.4,451.18,2161.96,Fixation,145.0,1.0,953.0,296.0
2728,133943636,31.43,-20.73,-34.1,-33.31,-21.45,-32.56,4.54,4.19,0.0022,0.2088,0.9779,0.0025,0.2118,0.9773,0.4986,0.2809,4.4,451.18,2161.96,Fixation,145.0,1.0,953.0,296.0
2729,133953626,31.41,-21.04,-33.97,-33.5,-21.26,-32.59,4.54,4.21,-0.01,0.217,0.9761,0.0136,0.2079,0.9781,0.499,0.2782,3.14,482.28,2282.37,Fixation,145.0,1.0,953.0,296.0
2730,133963617,31.43,-20.75,-34.07,-33.29,-21.52,-32.43,4.53,4.21,0.003,0.2096,0.9778,0.0044,0.2155,0.9765,0.4978,0.2775,8.57,524.26,2474.08,Fixation,145.0,1.0,953.0,296.0
2731,133973613,31.41,-21.05,-33.97,-33.5,-21.31,-32.5,4.55,4.21,-0.0089,0.2163,0.9763,0.0173,0.2095,0.9777,0.4975,0.2778,8.6,469.8,2220.19,Fixation,145.0,1.0,953.0,296.0
2732,133983605,31.42,-20.76,-34.04,-33.3,-21.54,-32.42,4.52,4.23,0.0042,0.2126,0.9771,0.0048,0.2171,0.9761,0.4973,0.2763,8.37,424.07,1990.66,Fixation,145.0,1.0,953.0,296.0
2733,133993590,31.4,-21.05,-33.96,-33.52,-21.34,-32.47,4.55,4.22,-0.0091,0.2205,0.9753,0.0194,0.2119,0.9771,0.497,0.2747,9.6,427.38,1992.28,Fixation,145.0,1.0,953.0,296.0
2734,134003585,31.42,-20.76,-34.04,-33.31,-21.55,-32.4,4.53,4.23,0.0055,0.2137,0.9769,0.0065,0.219,0.9757,0.4964,0.2741,12.27,453.33,2108.16,Fixation,145.0,1.0,953.0,296.0
2735,134013577,31.4,-21.06,-33.95,-33.52,-21.36,-32.45,4.56,4.25,-0.0069,0.2176,0.976,0.0226,0.2173,0.9759,0.4954,0.2728,16.2,458.2,2118.67,Fixation,145.0,1.0,953.0,296.0
2736,134023573,31.43,-20.77,-34.04,-33.31,-21.57,-32.38,4.55,4.24,0.0075,0.2174,0.9761,0.0077,0.2205,0.9754,0.4955,0.2722,13.48,393.42,1814.52,Fixation,145.0,1.0,953.0,296.0
